it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,13.16666667,14,-0.625,0.2083333333,-0.75,0.25,0.8333333333,1,64.68632267,64.68632267,1,5,0,0,13.79166667,0,1,0,0,0.02529788017
1,0,13.79166667,14,0,0.2083333333,0,0.25,0.2083333333,0.25,9.863782051,9.863782051,0,0,1,1,13.79166667,13.79166667,0,14,0,2.959164619
2,0,13.79166667,14,0,0.2083333333,0,0.25,0.2083333333,0.25,8.189102564,20.30448718,2,6,0,0,13.79166667,13.79166667,0,14,1,3.790155411
3,0,13.79166667,14,0,0.2083333333,0,0.25,0.2083333333,0.25,9.439102564,9.439102564,0,0,1,0,13.79166667,13.79166667,0,14,2,4.7622962
4,0,13.79166667,14,0,0.2083333333,0,0.25,0.2083333333,0.25,8.429487179,19.09615385,2,8,0,0,13.79166667,13.79166667,0,14,3,5.481236458
5,0,13.79166667,14,0,0.2083333333,0,0.25,0.2083333333,0.25,8.309294872,8.309294872,0,0,1,0,13.79166667,13.79166667,0,14,4,6.575185299
6,0,13.79166667,14,0,0.2083333333,0,0.25,0.2083333333,0.25,7.764423077,16.19391026,1,2,0,0,13.79166667,13.79166667,0,14,5,7.100256443
7,0,13.79166667,14,0,0.2083333333,0,0.25,0.2083333333,0.25,7.881944444,7.881944444,0,0,1,0,13.79166667,13.79166667,0,14,6,7.836125374
8,0,13.79166667,14,0,0.2083333333,0,0.25,0.2083333333,0.25,7.670454545,31.74621212,4,18,0,0,13.79166667,13.79166667,0,14,7,8.18717742
9,0,13.79166667,14,0,0.2083333333,0,0.25,0.2083333333,0.25,9.672619048,9.672619048,0,0,1,0,13.79166667,13.79166667,0,14,8,8.957208872
10,0,13.79166667,14,0,0.2083333333,0,0.25,0.2083333333,0.25,8.06547619,26.26190476,3,11,0,0,13.79166667,13.79166667,0,14,9,9.999306917
11,0,13.79166667,14,0,0.2083333333,0,0.25,0.2083333333,0.25,9.958333333,9.958333333,1,1,0,0,13.79166667,13.79166667,0,14,10,10.85524201
