it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,332.5662277,0,-28.71688617,-361.2831138,-0.5,-6.290429813,-332.5662277,-5.790429813,55,55,1,20,0,0,361.2831138,0,1,0,0,0.0003471374512
1,0,332.5662277,80,-28.71688617,-281.2831138,-0.5,-4.897521133,-252.5662277,-4.397521133,55,68.56481617,3,324,0,0,361.2831138,361.2831138,0,0,1,0.01054930687
2,0,361.2831138,352,-6.423306331e-12,-9.283113827,-1.118384893e-13,-0.1616316228,-9.283113827,-0.1616316228,25.40641679,25.40641679,0,0,1,1,361.2831138,361.2831138,0,352,0,1.151027918
3,0,352,482,-9.283113827,120.7168862,-0.1616316228,2.101844981,130,2.263476604,9.880984919e-15,23,8,140,0,0,361.2831138,361.2831138,0,352,1,2.488428116
4,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,1.256239557e-11,2.187283728e-13,2.030353913e-12,5.091574403e-10,0,0,1,0,361.2831138,361.2831138,0,352,2,3.334288836
5,0,352,492,-9.283113827,130.7168862,-0.1616316228,2.275958566,140,2.437590189,1.64898914e-12,22,2,88,0,0,361.2831138,361.2831138,0,352,3,4.259889841
6,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,6.195932656e-11,1.078796047e-12,-2.619993251e-12,2.042308773e-10,0,0,1,0,361.2831138,361.2831138,0,352,4,4.913893938
7,0,352,482,-9.283113827,120.7168862,-0.1616316228,2.101844981,130,2.263476604,-5.199645487e-12,24,2,96,0,0,361.2831138,361.2831138,0,352,5,5.538828135
8,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-6.576783562e-11,-1.145107363e-12,5.492331946e-13,2.743187324e-10,0,0,1,0,361.2831138,361.2831138,0,352,6,6.102804422
9,0,352,182,-9.283113827,-179.2831138,-0.1616316228,-3.121562567,-170,-2.959930944,7.704947791e-14,29,1,68,0,0,361.2831138,361.2831138,0,352,7,6.454976082
10,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-2.273736754e-12,-3.958884575e-14,3.47662191e-13,4.546876905e-13,0,0,1,0,361.2831138,361.2831138,0,352,8,7.112867832
11,0,352,494,-9.283113827,132.7168862,-0.1616316228,2.310781283,142,2.472412906,4.457384562e-12,18,2,72,0,0,361.2831138,361.2831138,0,352,9,7.669331312
12,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-4.467892722e-11,-7.77920819e-13,2.899479857e-12,7.529121907e-10,0,0,1,0,361.2831138,361.2831138,0,352,10,8.039516449
13,0,352,476,-9.283113827,114.7168862,-0.1616316228,1.997376831,124,2.159008453,1.86015088e-12,28,2,110,0,0,361.2831138,361.2831138,0,352,11,8.256629229
14,0,352,9654,-9.283113827,9292.716886,-0.1616316228,161.7988251,9302,161.9604567,1.265654248e-14,834,6,3046,0,0,361.2831138,361.2831138,0,352,12,8.640733957
15,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-7.048583939e-12,-1.227254218e-13,7.016689552e-12,8.650432041e-11,0,0,1,0,361.2831138,361.2831138,0,352,13,10.00581598
16,0,352,668,-9.283113827,306.7168862,-0.1616316228,5.340357661,316,5.501989284,5.662137426e-15,23,9,100,0,0,361.2831138,361.2831138,0,352,14,11.43479395
17,0,352,9416,-9.283113827,9054.716886,-0.1616316228,157.6549218,9064,157.8165534,-4.440892099e-15,835,7,2990,0,0,361.2831138,361.2831138,0,352,15,12.35019851
18,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-7.770495358e-11,-1.352948804e-12,2.440798063e-12,1.727688988e-10,0,0,1,0,361.2831138,361.2831138,0,352,16,14.08381367
19,0,352,484,-9.283113827,122.7168862,-0.1616316228,2.136667698,132,2.298299321,9.815749288e-13,16,2,64,0,0,361.2831138,361.2831138,0,352,17,15.44184804
20,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-1.919033821e-10,-3.341298582e-12,-2.411868104e-12,8.897437655e-10,0,0,1,0,361.2831138,361.2831138,0,352,18,16.20181823
21,0,352,534,-9.283113827,172.7168862,-0.1616316228,3.007235623,182,3.168867246,-2.411868104e-12,23,2,92,0,0,361.2831138,361.2831138,0,352,19,16.21169257
22,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-1.671196515e-11,-2.909780163e-13,-9.83832357e-13,2.13502663e-10,0,0,1,0,361.2831138,361.2831138,0,352,20,16.9308567
23,0,352,458,-9.283113827,96.71688617,-0.1616316228,1.683972378,106,1.845604,2.992310871e-12,10,2,40,0,0,361.2831138,361.2831138,0,352,21,17.42793465
24,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,1.887201506e-11,3.285874197e-13,-2.005147157e-12,1.890118796e-10,0,0,1,0,361.2831138,361.2831138,0,352,22,18.02179742
25,0,352,458,-9.283113827,96.71688617,-0.1616316228,1.683972378,106,1.845604,-2.005147157e-12,17,2,68,0,0,361.2831138,361.2831138,0,352,23,18.03176641
26,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,3.223021849e-11,5.611718885e-13,-2.38483934e-12,8.433688702e-10,0,0,1,0,361.2831138,361.2831138,0,352,24,18.72561979
27,0,352,268,-9.283113827,-93.28311383,-0.1616316228,-1.624185736,-84,-1.462554114,-5.284661597e-14,20,1,52,0,0,361.2831138,361.2831138,0,352,25,19.24531078
28,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,5.746869647e-11,1.000608076e-12,4.502712662e-13,1.136831795e-10,0,0,1,0,361.2831138,361.2831138,0,352,26,19.89819694
29,0,352,530,-9.283113827,168.7168862,-0.1616316228,2.937590189,178,3.099221812,1.91111702e-12,28,2,112,0,0,361.2831138,361.2831138,0,352,27,20.65661716
30,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,5.99698069e-11,1.044155807e-12,-1.474761749e-13,1.926669105e-10,0,0,1,0,361.2831138,361.2831138,0,352,28,21.36251378
31,0,352,526,-9.283113827,164.7168862,-0.1616316228,2.867944755,174,3.029576378,-1.474761749e-13,25,2,100,0,0,361.2831138,361.2831138,0,352,29,21.37234259
32,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-2.125943865e-11,-3.701557078e-13,1.062289066e-11,4.055382017e-09,0,0,1,0,361.2831138,361.2831138,0,352,30,22.30612421
33,0,352,596,-9.283113827,234.7168862,-0.1616316228,4.08673985,244,4.248371473,-3.956736552e-12,28,2,112,0,0,361.2831138,361.2831138,0,352,31,22.90674329
34,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,8.270717444e-11,1.440044264e-12,-9.949711219e-12,1.504126799e-09,0,0,1,0,361.2831138,361.2831138,0,352,32,23.51928401
35,0,352,456,-9.283113827,94.71688617,-0.1616316228,1.649149661,104,1.810781283,-8.697179966e-12,17,2,68,0,0,361.2831138,361.2831138,0,352,33,23.67249393
36,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,5.00222086e-12,8.709546066e-14,-5.257653359e-12,4.998810329e-10,0,0,1,0,361.2831138,361.2831138,0,352,34,23.94078922
37,0,352,400,-9.283113827,38.71688617,-0.1616316228,0.6741135849,48,0.8357452077,-5.6373781e-13,13,2,52,0,0,361.2831138,361.2831138,0,352,35,24.08948684
38,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,2.069100447e-11,3.602584964e-13,-4.638888094e-13,2.081178135e-10,0,0,1,0,361.2831138,361.2831138,0,352,36,24.39019775
39,0,352,414,-9.283113827,52.71688617,-0.1616316228,0.9178726039,62,1.079504227,7.615613884e-13,16,3,64,0,0,361.2831138,361.2831138,0,352,37,24.58292031
40,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-3.251443559e-11,-5.661204943e-13,3.006929139e-12,1.323735481e-10,0,0,1,0,361.2831138,361.2831138,0,352,38,24.80460405
41,0,352,488,-9.283113827,126.7168862,-0.1616316228,2.206313132,136,2.367944755,-3.283296799e-12,12,2,48,0,0,361.2831138,361.2831138,0,352,39,24.98043704
42,0,352,8888,-9.283113827,8526.716886,-0.1616316228,148.4617245,8536,148.6233561,1.111333248e-13,801,7,2986,0,0,361.2831138,361.2831138,0,352,40,25.34155321
43,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-2.114575182e-11,-3.681762655e-13,3.712384534e-12,8.879058155e-11,0,0,1,0,361.2831138,361.2831138,0,352,41,26.71342754
44,0,352,456,-9.283113827,94.71688617,-0.1616316228,1.649149661,104,1.810781283,1.998401444e-14,21,8,104,0,0,361.2831138,361.2831138,0,352,42,28.22347641
45,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-4.024514055e-11,-7.007225698e-13,-2.863421219e-12,9.156519276e-10,0,0,1,0,361.2831138,361.2831138,0,352,43,29.13776398
46,0,352,436,-9.283113827,74.71688617,-0.1616316228,1.300922491,84,1.462554114,2.859988074e-13,10,2,40,0,0,361.2831138,361.2831138,0,352,44,29.87003756
47,0,352,9158,-9.283113827,8796.716886,-0.1616316228,153.1627913,8806,153.3244229,4.884981308e-15,857,6,3046,0,0,361.2831138,361.2831138,0,352,45,30.44157219
48,0,352,9540,-9.283113827,9178.716886,-0.1616316228,159.8139302,9188,159.9755618,1.156852392e-13,837,6,3034,0,0,361.2831138,361.2831138,0,352,46,32.14061332
49,0,352,8554,-9.283113827,8192.716886,-0.1616316228,142.6463307,8202,142.8079624,-3.69260178e-13,766,6,2792,0,0,361.2831138,361.2831138,0,352,47,33.85104775
50,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-1.818989404e-12,-3.16710766e-14,2.525029982e-12,4.27488736e-11,0,0,1,0,361.2831138,361.2831138,0,352,48,35.46556854
51,0,352,484,-9.283113827,122.7168862,-0.1616316228,2.136667698,132,2.298299321,0,15,7,76,0,0,361.2831138,361.2831138,0,352,49,36.87725806
52,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,5.343281373e-12,9.303378752e-14,-8.916337603e-13,1.082327048e-10,0,0,1,0,361.2831138,361.2831138,0,352,50,37.67343855
53,0,352,560,-9.283113827,198.7168862,-0.1616316228,3.459930944,208,3.621562567,-8.916337603e-13,24,2,96,0,0,361.2831138,361.2831138,0,352,51,37.68341517
54,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-8.753886505e-12,-1.524170561e-13,-2.354067969e-12,1.382646721e-10,0,0,1,0,361.2831138,361.2831138,0,352,52,38.32116151
55,0,352,476,-9.283113827,114.7168862,-0.1616316228,1.997376831,124,2.159008453,-2.18946972e-14,15,2,60,0,0,361.2831138,361.2831138,0,352,53,38.72232246
56,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,2.194155968e-11,3.820323615e-13,1.398827958e-12,3.278386237e-11,0,0,1,0,361.2831138,361.2831138,0,352,54,39.23053336
57,0,352,466,-9.283113827,104.7168862,-0.1616316228,1.823263246,114,1.984894868,1.242350675e-12,23,2,92,0,0,361.2831138,361.2831138,0,352,55,39.55230808
58,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-6.821210263e-12,-1.187665373e-13,-4.314985449e-13,2.645296223e-10,0,0,1,0,361.2831138,361.2831138,0,352,56,40.09644938
59,0,352,360,-9.283113827,-1.283113827,-0.1616316228,-0.02234075483,8,0.139290868,-1.387398381e-12,13,2,52,0,0,361.2831138,361.2831138,0,352,57,40.72325087
60,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-1.773514668e-11,-3.087929969e-13,-1.273816782e-12,2.926371699e-10,0,0,1,0,361.2831138,361.2831138,0,352,58,41.72300339
61,0,352,480,-9.283113827,118.7168862,-0.1616316228,2.067022264,128,2.228653887,-9.463056915e-15,16,2,64,0,0,361.2831138,361.2831138,0,352,59,42.00367117
62,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,4.447429092e-10,7.743578229e-12,2.243106853e-11,1.675562458e-08,0,0,1,0,361.2831138,361.2831138,0,352,60,42.77886629
63,0,352,204,-9.283113827,-157.2831138,-0.1616316228,-2.73851268,-148,-2.576881057,3.386180225e-14,23,1,72,0,0,361.2831138,361.2831138,0,352,61,42.80333567
64,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,-6.576783562e-11,-1.145107363e-12,2.717146067e-12,6.197761304e-10,0,0,1,0,361.2831138,361.2831138,0,352,62,43.61717272
65,0,352,464,-9.283113827,102.7168862,-0.1616316228,1.788440529,112,1.950072151,2.1768725e-12,18,2,72,0,0,361.2831138,361.2831138,0,352,63,44.44310021
66,0,352,352,-9.283113826,-9.283113827,-0.1616316228,-0.1616316228,-4.122284736e-10,-7.177457735e-12,-5.836625073e-12,6.366316521e-09,0,0,1,0,361.2831138,361.2831138,0,352,64,45.31172776
67,0,352,508,-9.283113827,146.7168862,-0.1616316228,2.554540302,156,2.716171925,-2.736820565e-12,29,2,116,0,0,361.2831138,361.2831138,0,352,65,45.89090705
68,0,352,10018,-9.283113827,9656.716886,-0.1616316228,168.1365596,9666,168.2981912,-7.593925488e-14,838,6,3118,0,0,361.2831138,361.2831138,0,352,66,46.43747926
69,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,7.50333129e-12,1.30643191e-13,1.06102305e-12,3.493412179e-11,0,0,1,0,361.2831138,361.2831138,0,352,67,48.1167798
70,0,352,514,-9.283113827,152.7168862,-0.1616316228,2.659008453,162,2.820640076,1.237258545e-12,24,3,96,0,0,361.2831138,361.2831138,0,352,68,49.63388133
71,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,2.5920599e-11,4.513128416e-13,-3.36817502e-13,3.380480523e-10,0,0,1,0,361.2831138,361.2831138,0,352,69,50.80099845
72,0,352,474,-9.283113827,112.7168862,-0.1616316228,1.962554114,122,2.124185736,1.571627146e-11,24,2,96,0,0,361.2831138,361.2831138,0,352,70,51.67207456
73,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,1.0857093e-10,1.890367385e-12,-9.799097316e-13,7.98573472e-10,0,0,1,0,361.2831138,361.2831138,0,352,71,52.18802166
74,0,352,594,-9.283113827,232.7168862,-0.1616316228,4.051917133,242,4.213548756,1.21533639e-11,23.00000001,3,92,0,0,361.2831138,361.2831138,0,352,72,52.81994843
75,0,352,352,-9.283113827,-9.283113827,-0.1616316228,-0.1616316228,2.854108061e-10,4.969389863e-12,1.594752104e-11,3.096133783e-09,0,0,1,0,361.2831138,361.2831138,0,352,73,53.61588049
