it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,145.8,0,-59.4,-205.2,-0.75,-2.590909091,-145.8,-1.840909091,145.8,145.8,1,2187,0,0,205.2,0,1,0,0,0.0003304481506
1,0,145.8,15,-59.4,-190.2,-0.75,-2.401515152,-130.8,-1.651515152,145.8,151.7139432,1,1966,0,0,205.2,205.2,0,0,1,0.08793139458
2,0,153.5683173,29,-51.6316827,-176.2,-0.6519151857,-2.224747475,-124.5683173,-1.572832289,138.5683173,144.6878407,1,1763,0,0,205.2,205.2,0,0,2,36.8503623
3,0,161.9835438,39,-43.21645616,-166.2,-0.5456623253,-2.098484848,-122.9835438,-1.552822523,132.9835438,136.2718768,1,1618,0,0,205.2,205.2,0,0,3,64.69494486
4,0,167.2339452,68,-37.96605478,-137.2,-0.4793693785,-1.732323232,-99.23394522,-1.252953854,128.2339452,139.286689,1,1234,0,0,205.2,205.2,0,0,4,83.94123292
5,0,182.3726831,92,-22.82731685,-113.2,-0.2882236976,-1.429292929,-90.37268315,-1.141069232,114.3726831,119.4725351,1,953,0,0,205.2,205.2,0,0,5,94.13876414
6,0,192.5904368,112,-12.60956315,-93.2,-0.1592116559,-1.176767677,-80.59043685,-1.017556021,100.5904368,103.2486206,1,735,0,0,205.2,205.2,0,0,6,99.04871082
7,0,199.9164759,114,-5.283524079,-91.2,-0.06671116261,-1.151515152,-85.91647592,-1.084803989,87.66301256,87.66301256,1,720,0,0,205.2,205.2,0,0,7,101.2680802
8,0,200.3472533,115,-4.852746656,-90.2,-0.06127205374,-1.138888889,-85.34725334,-1.077616835,86.33352752,86.33352752,1,707,0,0,205.2,205.2,0,0,8,102.2740796
9,0,200.6623353,118,-4.537664697,-87.2,-0.05729374618,-1.101010101,-82.6623353,-1.043716355,85.50474493,85.50474493,1,681,0,0,205.2,205.2,0,0,9,103.1305926
10,0,201.4979198,121,-3.702080212,-84.2,-0.04674343702,-1.063131313,-80.49791979,-1.016387876,83.36257533,83.36257533,1,652,0,0,205.2,205.2,0,0,10,104.1431456
11,0,202.3002762,123,-2.899723791,-82.2,-0.03661267412,-1.037878788,-79.30027621,-1.001266114,81.01856011,81.01856135,1,634,0,0,205.2,205.2,0,0,11,105.1777499
12,0,202.7964285,124,-2.40357155,-81.2,-0.03034812563,-1.025252525,-78.79642845,-0.9949043996,79.79254227,79.79254227,1,626,0,0,205.2,205.2,0,0,12,105.8616776
13,0,203.1326364,126,-2.067363636,-79.2,-0.02610307621,-1,-77.13263636,-0.9738969238,78.92617929,78.92617929,1,612,0,0,205.2,205.2,0,0,13,106.3446536
14,0,203.4862662,127,-1.713733803,-78.2,-0.02163805307,-0.9873737374,-76.4862662,-0.9657356843,77.43912998,77.43912998,1,608,0,0,205.2,205.2,0,0,14,107.1029963
15,0,203.7566961,134,-1.443303906,-71.2,-0.01822353416,-0.898989899,-69.75669609,-0.8807663648,76.48933907,76.48933907,1,545,0,0,205.2,205.2,0,0,15,107.7729621
16,0,205.2,141,-2.842170943e-14,-64.2,-3.588599676e-16,-0.8106060606,-64.2,-0.8106060606,71.72317831,71.72317831,1,485,0,0,205.2,205.2,0,0,16,108.5561295
17,0,205.2,150,-2.842170943e-14,-55.2,-3.588599676e-16,-0.696969697,-55.2,-0.696969697,68.17144805,68.17144805,1,404,0,0,205.2,205.2,0,0,17,109.2337098
18,0,205.2,161,2.842170943e-14,-44.2,3.588599676e-16,-0.5580808081,-44.2,-0.5580808081,63.9843314,63.9843314,1,323,0,0,205.2,205.2,0,0,18,109.942266
19,0,205.2,167,-2.842170943e-14,-38.2,-3.588599676e-16,-0.4823232323,-38.2,-0.4823232323,59.57534195,59.57534195,1,278,0,0,205.2,205.2,0,0,19,110.6677852
20,0,205.2,170,0,-35.2,0,-0.4444444444,-35.2,-0.4444444444,57.47839439,57.47839439,1,256,0,0,205.2,205.2,0,0,20,111.5836482
21,0,205.2,172,2.842170943e-14,-33.2,3.588599676e-16,-0.4191919192,-33.2,-0.4191919192,56.42792724,56.42792724,1,235,0,0,205.2,205.2,0,0,21,112.4481132
22,0,205.2,176,0,-29.2,0,-0.3686868687,-29.2,-0.3686868687,55.03016866,55.03016866,1,207,0,0,205.2,205.2,0,0,22,113.2709787
23,0,205.2,177,0,-28.2,0,-0.3560606061,-28.2,-0.3560606061,53.81218866,53.81218866,1,200,0,0,205.2,205.2,0,0,23,114.3183236
24,0,205.2,183,-2.842170943e-14,-22.2,-3.588599676e-16,-0.2803030303,-22.2,-0.2803030303,53.13245788,53.13245788,1,168,0,0,205.2,205.2,0,0,24,115.2378733
25,0,205.2,186,0,-19.2,0,-0.2424242424,-19.2,-0.2424242424,51.04249821,51.04249821,1,150,0,0,205.2,205.2,0,0,25,116.4516623
26,0,205.2,188,-2.842170943e-14,-17.2,-3.588599676e-16,-0.2171717172,-17.2,-0.2171717172,49.93657537,49.93657537,1,139,0,0,205.2,205.2,0,0,26,117.4350882
27,0,205.2,192,0,-13.2,0,-0.1666666667,-13.2,-0.1666666667,48.99449585,48.99449585,1,113,0,0,205.2,205.2,0,0,27,118.646215
28,0,205.2,196,-2.842170943e-14,-9.2,-3.588599676e-16,-0.1161616162,-9.2,-0.1161616162,47.33919083,47.33919083,1,86,0,0,205.2,205.2,0,0,28,119.8393884
29,0,205.2,202,-2.842170943e-14,-3.2,-3.588599676e-16,-0.0404040404,-3.2,-0.0404040404,46.5718905,47.92584,1,56,0,0,205.2,205.2,0,0,29,121.2315347
