it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,-39365983.34,-37994657.43,-6159496.821,-4788170.914,-0.25,-0.194340993,1371325.908,0.05565900703,271.5654723,271.5654723,8.549833333,17.05674242,0,0,-33206486.52,0,1,0,0,0.0002975463867
1,0,-35560295.31,-28556285.5,-2353808.795,4650201.013,-0.09553575819,0.1887411078,7004009.809,0.2842768659,164.7124162,164.7124162,3.281454545,9.156621212,0,0,-33206486.52,-33206486.52,0,0,1,0.2724831104
2,0,-33206486.52,-37261056.63,-3.725290298e-09,-4054570.112,-1.512010805e-16,-0.164565801,-4054570.112,-0.164565801,104.9767654,104.9767654,2.170833333,7.607792929,0,0,-33206486.52,-33206486.52,0,0,2,0.3975007534
3,0,-33807876.41,-33478017.15,-601389.8988,-271530.6348,-0.02440905143,-0.01102081236,329859.264,0.01338823907,34.19134387,34.19134387,0.5832777778,2.975712121,0,0,-33206486.52,-33206486.52,0,0,3,0.4868044853
4,0,-33306049.35,-34093094.71,-99562.83651,-886608.1957,-0.004041029625,-0.03598541494,-787045.3592,-0.03194438532,16.36082083,16.36082083,0.3087878788,1.624484848,0,0,-33206486.52,-33206486.52,0,0,4,0.4999742508
5,0,-33402980.73,-33313957.47,-196494.2091,-107470.9499,-0.0079752541,-0.004362002005,89023.25918,0.003613252095,11.556949,11.556949,0.264,1.269484848,0,0,-33206486.52,-33206486.52,0,0,5,0.5142929554
6,0,-33206486.52,-33399027.09,-1.11758709e-08,-192540.5764,-4.536032415e-16,-0.007814785118,-192540.5764,-0.007814785118,5.002178638,5.002178638,0.2330909091,0.5592070707,0,0,-33206486.52,-33206486.52,0,0,6,0.5234482288
7,0,-33206486.52,-33485341.37,-1.11758709e-08,-278854.8495,-4.536032415e-16,-0.01131808561,-278854.8495,-0.01131808561,3.378872482,3.378872482,0.06805555556,0.2988535354,0,0,-33206486.52,-33206486.52,0,0,7,0.5463712215
8,0,-33363066.03,-30923533.83,-156579.5138,2282952.686,-0.006355207183,0.09265986947,2439532.2,0.09901507665,3.014912425,15.04360513,1,5.879338384,0,0,-33206486.52,-33206486.52,0,0,8,0.5535545349
9,0,-33206486.52,-33227726.9,-3.725290298e-09,-21240.3847,-1.512010805e-16,-0.0008620990203,-21240.3847,-0.0008620990203,2.668262443,2.668262443,0.04666666667,0.1701262626,0,0,-33206486.52,-33206486.52,0,0,9,0.5667784214
