it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,246.8368421,183,-185.3723684,-249.2092105,-0.75,-1.008278146,-63.83684211,-0.2582781457,30.49473684,30.49473684,1,39,0,0,432.2092105,0,1,0,0,0.0002753734589
1,0,432.2092105,267,0,-165.2092105,0,-0.668421669,-165.2092105,-0.668421669,7.545622593,7.545622593,1,17,0,0,432.2092105,432.2092105,0,0,1,0.02724552155
2,0,432.2092105,366,0,-66.20921053,0,-0.2678765358,-66.20921053,-0.2678765358,5.252112645,5.252112645,1,11,0,0,432.2092105,432.2092105,0,0,2,0.03937530518
3,0,432.2092105,389,0,-43.20921053,0,-0.1748205958,-43.20921053,-0.1748205958,3.783589181,3.783589181,1,3,0,0,432.2092105,432.2092105,0,0,3,0.04740548134
4,0,432.2092105,411,0,-21.20921053,0,-0.08581056621,-21.20921053,-0.08581056621,0.6953839517,0.6953839517,0,0,1,1,432.2092105,432.2092105,0,411,0,0.05616021156
5,0,411,1354,-21.20921053,921.7907895,-0.08581056621,3.729482975,943,3.815293541,0,15,1,4,0,0,432.2092105,432.2092105,0,411,1,0.06301808357
6,0,432.2092105,30886,0,30453.79079,0,123.21331,30453.79079,123.21331,0.316555381,613.3165554,0,0,1,0,432.2092105,432.2092105,0,411,2,0.06927371025
7,0,432.2092105,440,0,7.790789474,0,0.03152083644,7.790789474,0.03152083644,1.872785931,1.872785931,0,0,1,0,432.2092105,432.2092105,0,411,3,0.07673859596
8,0,432.2092105,434,0,1.790789474,0,0.007245373821,1.790789474,0.007245373821,0.2984649123,0.2984649123,0,0,1,0,432.2092105,432.2092105,0,411,4,0.08321356773
9,0,432.2092105,1238,0,805.7907895,0,3.260157365,805.7907895,3.260157365,0.2984649123,13.70153509,0,0,1,0,432.2092105,432.2092105,0,411,5,0.08913064003
10,0,432.2092105,429,0,-3.209210526,0,-0.01298417836,-3.209210526,-0.01298417836,0.04789866457,0.04789866457,0,0,1,0,432.2092105,432.2092105,0,411,6,0.09686470032
11,0,429,1236,-3.209210526,803.7907895,-0.01298417836,3.252065544,807,3.265049722,0,13,0,0,1,0,432.2092105,432.2092105,0,411,7,0.1032891273
12,0,432.2092105,428,0,-4.209210526,0,-0.0170300888,-4.209210526,-0.0170300888,0.06282403771,0.06282403771,0,0,1,0,432.2092105,432.2092105,0,411,8,0.1092026234
13,0,428,1305,-4.209210526,872.7907895,-0.0170300888,3.531233364,877,3.548263453,0,14,0,0,1,0,432.2092105,432.2092105,0,411,9,0.1152927876
14,0,432.2092105,33006,0,32573.79079,0,131.7906401,32573.79079,131.7906401,0.04789866457,656.9521013,0,0,1,0,432.2092105,432.2092105,0,411,10,0.1212861538
15,0,432.2092105,335,0,-97.20921053,0,-0.3932997594,-97.20921053,-0.3932997594,10.5,10.5,1,22,0,0,432.2092105,432.2092105,0,411,11,0.1293337345
16,0,432.2092105,433,0,0.7907894737,0,0.003199463385,0.7907894737,0.003199463385,0.4336587436,0.4336587436,0,0,1,0,432.2092105,432.2092105,0,411,12,0.1369206905
17,0,432.2092105,1423,0,990.7907895,0,4.008650795,990.7907895,4.008650795,0.1581578947,20.84184211,1,1,0,0,432.2092105,432.2092105,0,411,13,0.144536972
18,0,432.2092105,417,0,-15.20921053,0,-0.0615351036,-15.20921053,-0.0615351036,0.2270031422,0.2270031422,0,0,1,0,432.2092105,432.2092105,0,411,14,0.1523940563
19,0,417,1564,-15.20921053,1131.790789,-0.0615351036,4.579124167,1147,4.64065927,0,18,0,0,1,0,432.2092105,432.2092105,0,411,15,0.1590256691
20,0,432.2092105,416,0,-16.20921053,0,-0.06558101403,-16.20921053,-0.06558101403,0.2419285153,0.2419285153,0,0,1,0,432.2092105,432.2092105,0,411,16,0.1649289131
21,0,416,1089,-16.20921053,656.7907895,-0.06558101403,2.65731671,673,2.722897724,0,11,0,0,1,0,432.2092105,432.2092105,0,411,17,0.1710767746
22,0,432.2092105,31605,0,31172.79079,0,126.1223196,31172.79079,126.1223196,0.2270031422,628.7729969,0,0,1,0,432.2092105,432.2092105,0,411,18,0.1770801544
23,0,432.2092105,430,0,-2.209210526,0,-0.008938267924,-2.209210526,-0.008938267924,0.3682017544,0.3682017544,0,0,1,0,432.2092105,432.2092105,0,411,19,0.18400383
