it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,234.5828818,178,-118.8542795,-175.4371614,-0.25,-0.3690173421,-56.58288182,-0.1190173421,35.73120952,35.73120952,1,54,0,0,353.4371614,0,1,0,0,0.0003297328949
1,0,353.4371614,226,0,-127.4371614,0,-0.2680533714,-127.4371614,-0.2680533714,9.193690519,9.193690519,1,17,0,0,353.4371614,353.4371614,0,0,1,0.04823684692
2,0,353.4371614,293,0,-60.43716136,0,-0.1271244956,-60.43716136,-0.1271244956,3.701518924,3.701518924,1,4,0,0,353.4371614,353.4371614,0,0,2,0.07437419891
3,0,346,346,-7.437161364,-7.437161364,-0.01564344463,-0.01564344463,0,0,0,0,0,0,1,1,353.4371614,353.4371614,0,346,0,0.08719205856
4,0,346,1953,-7.437161364,1599.562839,-0.01564344463,3.364546158,1607,3.380189603,0,25,1,4,0,0,353.4371614,353.4371614,0,346,1,0.09796929359
5,0,353.4371614,43328,0,42974.56284,0,90.3933855,42974.56284,90.3933855,0.1110024084,802.1110024,0,0,1,0,353.4371614,353.4371614,0,346,2,0.106351614
6,0,353.4371614,352,0,-1.437161364,0,-0.003022948289,-1.437161364,-0.003022948289,0.2874322728,0.2874322728,0,0,1,0,353.4371614,353.4371614,0,346,3,0.1160304546
7,0,352,1825,-1.437161364,1471.562839,-0.003022948289,3.095308903,1473,3.098331851,0,23,1,3,0,0,353.4371614,353.4371614,0,346,4,0.1272325516
8,0,353.4371614,40863,0,40509.56284,0,85.20846492,40509.56284,85.20846492,0.02145016961,807.0214502,0,0,1,0,353.4371614,353.4371614,0,346,5,0.1360948086
9,0,353.4371614,353,0,-0.4371613639,0,-0.0009195322322,-0.4371613639,-0.0009195322322,0.109290341,0.109290341,0,0,1,0,353.4371614,353.4371614,0,346,6,0.1467144489
10,0,353,1558,-0.4371613639,1204.562839,-0.0009195322322,2.533696816,1205,2.534616348,0,19,1,3,0,0,353.4371614,353.4371614,0,346,7,0.1594674587
11,0,353.4371614,39321,0,38967.56284,0,81.96499736,38967.56284,81.96499736,0.006524796476,779.0065248,0,0,1,0,353.4371614,353.4371614,0,346,8,0.1681854725
12,0,353.4371614,345,0,-8.437161364,0,-0.01774686069,-8.437161364,-0.01774686069,2.359290341,2.359290341,1,4,0,0,353.4371614,353.4371614,0,346,9,0.1788847446
13,0,353.4371614,351,0,-2.437161364,0,-0.005126364346,-2.437161364,-0.005126364346,0.5503267596,0.5503267596,0,0,1,0,353.4371614,353.4371614,0,346,10,0.1898374557
14,0,351,2092,-2.437161364,1738.562839,-0.005126364346,3.65692099,1741,3.662047355,0,27,1,2,0,0,353.4371614,353.4371614,0,346,11,0.2015173435
15,0,353.4371614,41868,0,41514.56284,0,87.32239806,41514.56284,87.32239806,0.03637554274,802.0363755,0,0,1,0,353.4371614,353.4371614,0,346,12,0.2106683254
16,0,353.4371614,352,0,-1.437161364,0,-0.003022948289,-1.437161364,-0.003022948289,0.359290341,0.359290341,0,0,1,0,353.4371614,353.4371614,0,346,13,0.220690012
17,0,352,1222,-1.437161364,868.5628386,-0.003022948289,1.826949021,870,1.829971969,0,14,1,1,0,0,353.4371614,353.4371614,0,346,14,0.2322015762
18,0,353.4371614,39759,0,39405.56284,0,82.8862936,39405.56284,82.8862936,0.02145016961,803.0214502,0,0,1,0,353.4371614,353.4371614,0,346,15,0.2406620979
19,0,353.4371614,344,0,-9.437161364,0,-0.01985027674,-9.437161364,-0.01985027674,4.331148409,4.331148409,1,2,0,0,353.4371614,353.4371614,0,346,16,0.2513065338
20,0,352,352,-1.437161364,-1.437161364,-0.003022948289,-0.003022948289,0,0,0,0,0,0,1,0,353.4371614,353.4371614,0,346,17,0.2620434761
21,0,352,2093,-1.437161364,1739.562839,-0.003022948289,3.659024406,1741,3.662047355,0,27,1,2,0,0,353.4371614,353.4371614,0,346,18,0.2702486515
22,0,353.4371614,39722,0,39368.56284,0,82.8084672,39368.56284,82.8084672,0.02145016961,785.0214502,0,0,1,0,353.4371614,353.4371614,0,346,19,0.2784934044
23,0,353.4371614,355,0,1.562838636,0,0.003287299881,1.562838636,0.003287299881,0.390709659,0.390709659,0,0,1,0,353.4371614,353.4371614,0,346,20,0.2885727882
24,0,353.4371614,2226,0,1872.562839,0,3.938778742,1872.562839,3.938778742,0.390709659,29.60929034,1,2,0,0,353.4371614,353.4371614,0,346,21,0.297317028
