it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,16.5,0,-4.375,-20.875,-0.25,-1.192857143,-16.5,-0.9428571429,16.5,16.5,1,1023,0,0,20.875,0,1,0,0,0.0003094673157
1,0,16.5,25,-4.375,4.125,-0.25,0.2357142857,8.5,0.4857142857,16.5,39,1,89,0,0,20.875,20.875,0,0,1,0.006889104843
2,0,20.875,9,3.552713679e-15,-11.875,2.030122102e-16,-0.6785714286,-11.875,-0.6785714286,19.85140399,19.85140399,1,358,0,0,20.875,20.875,0,0,2,0.3713080883
3,0,20.875,20,-3.552713679e-15,-0.875,-2.030122102e-16,-0.05,-0.875,-0.05,15.85685045,27.78788243,1,173,0,0,20.875,20.875,0,0,3,0.5183179379
4,0,20.875,10,3.552713679e-15,-10.875,2.030122102e-16,-0.6214285714,-10.875,-0.6214285714,18.43617742,18.43617742,1,333,0,0,20.875,20.875,0,0,4,0.6874833107
5,0,20.875,14,0,-6.875,0,-0.3928571429,-6.875,-0.3928571429,16.13719904,27.43970218,1,246,0,0,20.875,20.875,0,0,5,0.8141579628
6,0,20.875,11,3.552713679e-15,-9.875,2.030122102e-16,-0.5642857143,-9.875,-0.5642857143,17.4354476,17.4354476,1,328,0,0,20.875,20.875,0,0,6,0.9987289906
7,0,20.875,17,0,-3.875,0,-0.2214285714,-3.875,-0.2214285714,16.21055747,27.23045926,1,181,0,0,20.875,20.875,0,0,7,1.110505104
8,0,20.875,8,0,-12.875,0,-0.7357142857,-12.875,-0.7357142857,18.34240385,18.34240385,1,440,0,0,20.875,20.875,0,0,8,1.295735598
9,0,20.875,29,7.105427358e-15,8.125,4.060244204e-16,0.4642857143,8.125,0.4642857143,15.3835021,32.92078333,1,46,0,0,20.875,20.875,0,0,9,1.44075346
10,0,20.875,11,7.105427358e-15,-9.875,4.060244204e-16,-0.5642857143,-9.875,-0.5642857143,18.50018586,18.50018586,1,351,0,0,20.875,20.875,0,0,10,1.608451366
11,0,20.875,10,7.105427358e-15,-10.875,4.060244204e-16,-0.6214285714,-10.875,-0.6214285714,13.89398291,13.89398291,1,404,0,0,20.875,20.875,0,0,11,1.737710238
12,0,20.875,24,3.552713679e-15,3.125,2.030122102e-16,0.1785714286,3.125,0.1785714286,13.56120807,24.63378822,1,73,0,0,20.875,20.875,0,0,12,1.832366705
13,0,20.875,18,-1.421085472e-14,-2.875,-8.120488409e-16,-0.1642857143,-2.875,-0.1642857143,15.20359431,15.20359431,1,116,0,0,20.875,20.875,0,0,13,2.001227856
14,0,20.875,10,0,-10.875,0,-0.6214285714,-10.875,-0.6214285714,14.05246914,23.87654321,1,386,0,0,20.875,20.875,0,0,14,2.116680384
15,0,20.875,10,0,-10.875,0,-0.6214285714,-10.875,-0.6214285714,15.3134058,15.3134058,1,386,0,0,20.875,20.875,0,0,15,2.318549156
16,0,20.875,9,-3.552713679e-15,-11.875,-2.030122102e-16,-0.6785714286,-11.875,-0.6785714286,14.525,14.525,1,413,0,0,20.875,20.875,0,0,16,2.428667784
17,0,20.875,23,3.552713679e-15,2.125,2.030122102e-16,0.1214285714,2.125,0.1214285714,8.125,8.125,1,23,0,0,20.875,20.875,0,0,17,2.477370024
18,0,20.875,19,0,-1.875,0,-0.1071428571,-1.875,-0.1071428571,7.125,7.125,1,48,0,0,20.875,20.875,0,0,18,2.571508169
19,0,20.875,23,0,2.125,0,0.1214285714,2.125,0.1214285714,5.666666667,5.666666667,0,0,1,1,20.875,20.875,0,23,0,2.610148191
20,0,20.875,24,0,3.125,0,0.1785714286,3.125,0.1785714286,5.666666667,17.33333333,1,47,0,0,20.875,20.875,0,23,1,2.65142417
21,0,20.875,22,0,1.125,0,0.06428571429,1.125,0.06428571429,6.6875,6.6875,1,12,0,0,20.875,20.875,0,23,2,2.752666235
22,0,20.875,23,0,2.125,0,0.1214285714,2.125,0.1214285714,5.666666667,5.666666667,0,0,1,0,20.875,20.875,0,23,3,2.809509277
23,0,20.875,18,7.105427358e-15,-2.875,4.060244204e-16,-0.1642857143,-2.875,-0.1642857143,5.666666667,15.33333333,1,93,0,0,20.875,20.875,0,23,4,2.845030069
24,0,20.875,21,0,0.125,0,0.007142857143,0.125,0.007142857143,6.6875,6.6875,1,12,0,0,20.875,20.875,0,23,5,2.946693897
25,0,20.875,17,0,-3.875,0,-0.2214285714,-3.875,-0.2214285714,6.6875,6.6875,1,72,0,0,20.875,20.875,0,23,6,3.033032894
26,0,20.875,18,0,-2.875,0,-0.1642857143,-2.875,-0.1642857143,6.6875,6.6875,1,56,0,0,20.875,20.875,0,23,7,3.106133938
27,0,20.875,75,0,54.125,0,3.092857143,54.125,3.092857143,6.6875,65,0,0,1,0,20.875,20.875,0,23,8,3.158831835
28,0,20.875,3,-7.105427358e-15,-17.875,-4.060244204e-16,-1.021428571,-17.875,-1.021428571,20.53901486,20.53901486,1,736,0,0,20.875,20.875,0,23,9,3.315097094
29,0,18.65537065,29,-2.219629351,8.125,-0.1268359629,0.4642857143,10.34462935,0.5911216772,15.65537065,34.61780109,1,71,0,0,20.875,20.875,0,23,10,3.56588912
30,0,20.875,13,-3.552713679e-15,-7.875,-2.030122102e-16,-0.45,-7.875,-0.45,17.07525994,17.07525994,1,254,0,0,20.875,20.875,0,23,11,3.849995613
31,0,20.875,22,0,1.125,0,0.06428571429,1.125,0.06428571429,14.34579072,23.12265149,1,86,0,0,20.875,20.875,0,23,12,3.967071772
32,0,20.875,16,-3.907985047e-14,-4.875,-2.233134312e-15,-0.2785714286,-4.875,-0.2785714286,10.515625,10.515625,1,140,0,0,20.875,20.875,0,23,13,4.11327219
33,0,20.875,14,0,-6.875,0,-0.3928571429,-6.875,-0.3928571429,7.125,7.125,1,196,0,0,20.875,20.875,0,23,14,4.188681841
34,0,20.875,20,0,-0.875,0,-0.05,-0.875,-0.05,7.125,7.125,1,36,0,0,20.875,20.875,0,23,15,4.257048607
