it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,148.9465209,67,-758.5133698,-840.4598907,-0.25,-0.2770089244,-81.94652094,-0.02700892437,62.60740902,62.60740902,1,283,0,0,907.4598907,0,1,0,0,0.0007221698761
1,0,907.4598907,565,2.273736754e-13,-342.4598907,7.494056285e-17,-0.112872068,-342.4598907,-0.112872068,24.88015453,31.86077925,1,125,0,0,907.4598907,907.4598907,0,0,1,1.913655281
2,0,907.4598907,583,6.821210263e-13,-324.4598907,2.248216886e-16,-0.1069394106,-324.4598907,-0.1069394106,18.1304386,18.1304386,1,116,0,0,907.4598907,907.4598907,0,0,2,2.987057686
3,0,907.4598907,589,0,-318.4598907,0,-0.1049618581,-318.4598907,-0.1049618581,17.28866814,17.28866814,1,109,0,0,907.4598907,907.4598907,0,0,3,3.155614614
4,0,907.4598907,738,-5.684341886e-13,-169.4598907,-1.873514071e-16,-0.05585263802,-169.4598907,-0.05585263802,16.71543265,20.0035925,1,29,0,0,907.4598907,907.4598907,0,0,4,3.295834541
5,0,907.4598907,765,0,-142.4598907,0,-0.04695365183,-142.4598907,-0.04695365183,7.358766227,7.358766227,1,14,0,0,907.4598907,907.4598907,0,0,5,3.601055622
6,0,907.4598907,796,0,-111.4598907,0,-0.03673629732,-111.4598907,-0.03673629732,3.933310026,3.933310026,1,8,0,0,907.4598907,907.4598907,0,0,6,3.733644724
7,0,907.4598907,890,0,-17.4598907,0,-0.005754641711,-17.4598907,-0.005754641711,2.560318467,2.560318467,1,2,0,0,907.4598907,907.4598907,0,0,7,3.823283195
8,0,907.4598907,908,0,0.5401092971,0,0.0001780157472,0.5401092971,0.0001780157472,0.03162253548,0.03162253548,0,0,1,1,907.4598907,907.4598907,0,908,0,3.959871531
9,0,907.4598907,731,0,-176.4598907,0,-0.05815978259,-176.4598907,-0.05815978259,0.0233982367,9.986351029,1,1,0,0,907.4598907,907.4598907,0,908,1,4.038461447
10,0,789,789,-118.4598907,-118.4598907,-0.03904344189,-0.03904344189,0,0,0,0,0,0,1,1,907.4598907,907.4598907,0,789,0,4.255470991
11,0,789,2692,-118.4598907,1784.540109,-0.03904344189,0.5881702882,1903,0.6272137301,0,29,1,3,0,0,907.4598907,907.4598907,0,789,1,4.282618046
12,0,907.4598907,925,0,17.5401093,0,0.005781081124,17.5401093,0.005781081124,0.2579427838,0.2579427838,0,0,1,0,907.4598907,907.4598907,0,789,2,4.338326931
13,0,907.4598907,2216,0,1308.540109,0,0.4312844577,1308.540109,0.4312844577,0.2579427838,23.74205722,1,3,0,0,907.4598907,907.4598907,0,789,3,4.374531746
14,0,907.4598907,925,0,17.5401093,0,0.005781081124,17.5401093,0.005781081124,0.2579427838,0.2579427838,0,0,1,0,907.4598907,907.4598907,0,789,4,4.406619072
15,0,907.4598907,1944,0,1036.540109,0,0.3416354117,1036.540109,0.3416354117,0.2579427838,19.74205722,1,4,0,0,907.4598907,907.4598907,0,789,5,4.433807373
16,0,907.4598907,925,0,17.5401093,0,0.005781081124,17.5401093,0.005781081124,0.2579427838,0.2579427838,0,0,1,0,907.4598907,907.4598907,0,789,6,4.463746309
17,0,907.4598907,1400,0,492.5401093,0,0.1623373196,492.5401093,0.1623373196,0.2579427838,9.742057216,1,3,0,0,907.4598907,907.4598907,0,789,7,4.490627527
18,0,907.4598907,925,0,17.5401093,0,0.005781081124,17.5401093,0.005781081124,0.2579427838,0.2579427838,0,0,1,0,907.4598907,907.4598907,0,789,8,4.520550966
19,0,907.4598907,1740,0,832.5401093,0,0.2743986271,832.5401093,0.2743986271,0.2579427838,14.74205722,1,4,0,0,907.4598907,907.4598907,0,789,9,4.547790766
20,0,907.4598907,107500,0,106592.5401,0,35.13205711,106592.5401,35.13205711,0.2579427838,2099.257943,0,0,1,0,907.4598907,907.4598907,0,789,10,4.578199148
21,0,907.4598907,904,0,-3.459890703,0,-0.001140352577,-3.459890703,-0.001140352577,0.3844323003,0.3844323003,0,0,1,0,907.4598907,907.4598907,0,789,11,4.609530449
22,0,904,2535,-3.459890703,1627.540109,-0.001140352577,0.5364243315,1631,0.5375646841,0,25,0,0,1,0,907.4598907,907.4598907,0,789,12,4.64065361
23,0,907.4598907,903,0,-4.459890703,0,-0.001469944658,-4.459890703,-0.001469944658,0.06558662798,0.06558662798,0,0,1,0,907.4598907,907.4598907,0,789,13,4.667590141
24,0,903,2672,-4.459890703,1764.540109,-0.001469944658,0.5815784466,1769,0.5830483913,0,27,0,0,1,0,907.4598907,907.4598907,0,789,14,4.695523977
25,0,907.4598907,102094,0,101186.5401,0,33.35028232,101186.5401,33.35028232,0.05088074563,1975.050881,0,0,1,0,907.4598907,907.4598907,0,789,15,4.722767353
26,0,907.4598907,907,0,-0.4598907029,0,-0.0001515763338,-0.4598907029,-0.0001515763338,0.06569867184,0.06569867184,0,0,1,0,907.4598907,907.4598907,0,789,16,4.753299236
27,0,907,2336,-0.4598907029,1428.540109,-0.0001515763338,0.4708355074,1429,0.4709870837,0,22,0,0,1,0,907.4598907,907.4598907,0,789,17,4.784367561
28,0,907.4598907,908,0,0.5401092971,0,0.0001780157472,0.5401092971,0.0001780157472,0.07715847102,0.07715847102,0,0,1,0,907.4598907,907.4598907,0,789,18,4.811715841
29,0,907.4598907,2736,0,1828.540109,0,0.6026723398,1828.540109,0.6026723398,0.07715847102,28.92284153,0,0,1,0,907.4598907,907.4598907,0,789,19,4.838913918
30,0,907.4598907,900,0,-7.459890703,0,-0.002458720901,-7.459890703,-0.002458720901,0.109704275,0.109704275,0,0,1,0,907.4598907,907.4598907,0,789,20,4.869363308
31,0,900,1853,-7.459890703,945.5401093,-0.002458720901,0.3116425323,953,0.3141012532,0,15,0,0,1,0,907.4598907,907.4598907,0,789,21,4.897895575
32,0,907.4598907,901,0,-6.459890703,0,-0.00212912882,-6.459890703,-0.00212912882,0.09499839269,0.09499839269,0,0,1,0,907.4598907,907.4598907,0,789,22,4.924901247
33,0,901,2668,-6.459890703,1760.540109,-0.00212912882,0.5802600783,1767,0.5823892071,0,27,0,0,1,0,907.4598907,907.4598907,0,789,23,4.952810287
34,0,907.4598907,98635,0,97727.54011,0,32.21022331,97727.54011,32.21022331,0.109704275,1944.890296,0,0,1,0,907.4598907,907.4598907,0,789,24,4.980517864
35,0,907.4598907,907,0,-0.4598907029,0,-0.0001515763338,-0.4598907029,-0.0001515763338,0.06569867184,0.06569867184,0,0,1,0,907.4598907,907.4598907,0,789,25,5.010274649
36,0,907,2404,-0.4598907029,1496.540109,-0.0001515763338,0.4932477689,1497,0.4933993452,0,23,0,0,1,0,907.4598907,907.4598907,0,789,26,5.041203737
37,0,907.4598907,908,0,0.5401092971,0,0.0001780157472,0.5401092971,0.0001780157472,0.07715847102,0.07715847102,0,0,1,0,907.4598907,907.4598907,0,789,27,5.068535089
38,0,907.4598907,2328,0,1420.540109,0,0.4681987708,1420.540109,0.4681987708,0.07715847102,22.92284153,0,0,1,0,907.4598907,907.4598907,0,789,28,5.095459223
39,0,907.4598907,900,0,-7.459890703,0,-0.002458720901,-7.459890703,-0.002458720901,0.109704275,0.109704275,0,0,1,0,907.4598907,907.4598907,0,789,29,5.126881838
40,0,900,1921,-7.459890703,1013.540109,-0.002458720901,0.3340547938,1021,0.3365135147,0,16,0,0,1,0,907.4598907,907.4598907,0,789,30,5.156500578
41,0,907.4598907,901,0,-6.459890703,0,-0.00212912882,-6.459890703,-0.00212912882,0.09499839269,0.09499839269,0,0,1,0,907.4598907,907.4598907,0,789,31,5.183989048
42,0,901,1648,-6.459890703,740.5401093,-0.00212912882,0.2440761557,747,0.2462052845,0,12,0,0,1,0,907.4598907,907.4598907,0,789,32,5.21396637
43,0,907.4598907,103848,0,102940.5401,0,33.92838683,102940.5401,33.92838683,0.109704275,2003.109704,0,0,1,0,907.4598907,907.4598907,0,789,33,5.241196632
44,0,907.4598907,910,0,2.540109297,0,0.0008371999092,2.540109297,0.0008371999092,0.4233515495,0.4233515495,0,0,1,0,907.4598907,907.4598907,0,789,34,5.271819115
45,0,907.4598907,1787,0,879.5401093,0,0.2898894549,879.5401093,0.2898894549,0.4233515495,14.57664845,1,1,0,0,907.4598907,907.4598907,0,789,35,5.299940348
46,0,907.4598907,904,0,-3.459890703,0,-0.001140352577,-3.459890703,-0.001140352577,0.05088074563,0.05088074563,0,0,1,0,907.4598907,907.4598907,0,789,36,5.33044982
47,0,904,1585,-3.459890703,677.5401093,-0.001140352577,0.2233118546,681,0.2244522072,0,11,0,0,1,0,907.4598907,907.4598907,0,789,37,5.361572504
48,0,907.4598907,905,0,-2.459890703,0,-0.0008107604958,-2.459890703,-0.0008107604958,0.03617486328,0.03617486328,0,0,1,0,907.4598907,907.4598907,0,789,38,5.38869381
49,0,905,1788,-2.459890703,880.5401093,-0.0008107604958,0.290219047,883,0.2910298075,0,14,0,0,1,0,907.4598907,907.4598907,0,789,39,5.419805288
50,0,907.4598907,101163,0,100255.5401,0,33.0434321,100255.5401,33.0434321,0.05088074563,1986.050881,0,0,1,0,907.4598907,907.4598907,0,789,40,5.447066545
51,0,907.4598907,905,0,-2.459890703,0,-0.0008107604958,-2.459890703,-0.0008107604958,0.4099817838,0.4099817838,0,0,1,0,907.4598907,907.4598907,0,789,41,5.477495193
52,0,905,1586,-2.459890703,678.5401093,-0.0008107604958,0.2236414467,681,0.2244522072,0,11,0,0,1,0,907.4598907,907.4598907,0,789,42,5.508204937
53,0,907.4598907,906,0,-1.459890703,0,-0.0004811684148,-1.459890703,-0.0004811684148,0.02146898092,0.02146898092,0,0,1,0,907.4598907,907.4598907,0,789,43,5.535104275
54,0,906,1789,-1.459890703,881.5401093,-0.0004811684148,0.2905486391,883,0.2910298075,0,14,0,0,1,0,907.4598907,907.4598907,0,789,44,5.562775135
55,0,907.4598907,101367,0,100459.5401,0,33.11066888,100459.5401,33.11066888,0.03617486328,1986.036175,0,0,1,0,907.4598907,907.4598907,0,789,45,5.589916706
56,0,907.4598907,909,0,1.540109297,0,0.0005076078282,1.540109297,0.0005076078282,0.2566848829,0.2566848829,0,0,1,0,907.4598907,907.4598907,0,789,46,5.62132144
57,0,907.4598907,2672,0,1764.540109,0,0.5815784466,1764.540109,0.5815784466,0.2566848829,27.74331512,0,0,1,0,907.4598907,907.4598907,0,789,47,5.648044825
58,0,907.4598907,904,0,-3.459890703,0,-0.001140352577,-3.459890703,-0.001140352577,0.05088074563,0.05088074563,0,0,1,0,907.4598907,907.4598907,0,789,48,5.678804636
59,0,904,2059,-3.459890703,1151.540109,-0.001140352577,0.379538501,1155,0.3806788535,0,18,0,0,1,0,907.4598907,907.4598907,0,789,49,5.706903458
60,0,907.4598907,903,0,-4.459890703,0,-0.001469944658,-4.459890703,-0.001469944658,0.06558662798,0.06558662798,0,0,1,0,907.4598907,907.4598907,0,789,50,5.733863592
61,0,903,1516,-4.459890703,608.5401093,-0.001469944658,0.200570001,613,0.2020399456,0,10,0,0,1,0,907.4598907,907.4598907,0,789,51,5.761698723
62,0,907.4598907,106478,0,105570.5401,0,34.79521401,105570.5401,34.79521401,0.05088074563,2044.050881,0,0,1,0,907.4598907,907.4598907,0,789,52,5.788837671
63,0,907.4598907,908,0,0.5401092971,0,0.0001780157472,0.5401092971,0.0001780157472,0.09001821619,0.09001821619,0,0,1,0,907.4598907,907.4598907,0,789,53,5.820892334
64,0,907.4598907,2193,0,1285.540109,0,0.4237038398,1285.540109,0.4237038398,0.09001821619,20.90998178,0,0,1,0,907.4598907,907.4598907,0,789,54,5.847839832
65,0,907.4598907,901,0,-6.459890703,0,-0.00212912882,-6.459890703,-0.00212912882,0.09499839269,0.09499839269,0,0,1,0,907.4598907,907.4598907,0,789,55,5.87900281
66,0,901,2738,-6.459890703,1830.540109,-0.00212912882,0.603331524,1837,0.6054606528,0,28,0,0,1,0,907.4598907,907.4598907,0,789,56,5.907056808
67,0,907.4598907,902,0,-5.459890703,0,-0.001799536739,-5.459890703,-0.001799536739,0.08029251034,0.08029251034,0,0,1,0,907.4598907,907.4598907,0,789,57,5.934213161
68,0,902,2601,-5.459890703,1693.540109,-0.001799536739,0.5581774089,1699,0.5599769456,0,26,0,0,1,0,907.4598907,907.4598907,0,789,58,5.9620924
69,0,907.4598907,101227,0,100319.5401,0,33.06452599,100319.5401,33.06452599,0.09499839269,1953.094998,0,0,1,0,907.4598907,907.4598907,0,789,59,5.989405394
70,0,907.4598907,909,0,1.540109297,0,0.0005076078282,1.540109297,0.0005076078282,0.2200156139,0.2200156139,0,0,1,0,907.4598907,907.4598907,0,789,60,6.020245552
71,0,907.4598907,2669,0,1761.540109,0,0.5805896704,1761.540109,0.5805896704,0.2200156139,27.77998439,0,0,1,0,907.4598907,907.4598907,0,789,61,6.047599554
72,0,907.4598907,901,0,-6.459890703,0,-0.00212912882,-6.459890703,-0.00212912882,0.09499839269,0.09499839269,0,0,1,0,907.4598907,907.4598907,0,789,62,6.078725338
73,0,901,2262,-6.459890703,1354.540109,-0.00212912882,0.4464456934,1361,0.4485748222,0,21,0,0,1,0,907.4598907,907.4598907,0,789,63,6.107303143
74,0,907.4598907,902,0,-5.459890703,0,-0.001799536739,-5.459890703,-0.001799536739,0.08029251034,0.08029251034,0,0,1,0,907.4598907,907.4598907,0,789,64,6.135090351
75,0,902,1989,-5.459890703,1081.540109,-0.001799536739,0.3564670553,1087,0.358266592,0,17,0,0,1,0,907.4598907,907.4598907,0,789,65,6.163054466
76,0,907.4598907,103808,0,102900.5401,0,33.91520315,102900.5401,33.91520315,0.09499839269,2032.094998,0,0,1,0,907.4598907,907.4598907,0,789,66,6.190434456
77,0,907.4598907,907,0,-0.4598907029,0,-0.0001515763338,-0.4598907029,-0.0001515763338,0.06569867184,0.06569867184,0,0,1,0,907.4598907,907.4598907,0,789,67,6.220849514
78,0,907,2064,-0.4598907029,1156.540109,-0.0001515763338,0.3811864614,1157,0.3813380377,0,18,0,0,1,0,907.4598907,907.4598907,0,789,68,6.251522064
79,0,907.4598907,908,0,0.5401092971,0,0.0001780157472,0.5401092971,0.0001780157472,0.07715847102,0.07715847102,0,0,1,0,907.4598907,907.4598907,0,789,69,6.278539658
80,0,907.4598907,1648,0,740.5401093,0,0.2440761557,740.5401093,0.2440761557,0.07715847102,12.92284153,0,0,1,0,907.4598907,907.4598907,0,789,70,6.305854082
81,0,907.4598907,900,0,-7.459890703,0,-0.002458720901,-7.459890703,-0.002458720901,0.109704275,0.109704275,0,0,1,0,907.4598907,907.4598907,0,789,71,6.336395979
82,0,900,1581,-7.459890703,673.5401093,-0.002458720901,0.2219934863,681,0.2244522072,0,11,0,0,1,0,907.4598907,907.4598907,0,789,72,6.364247799
83,0,907.4598907,901,0,-6.459890703,0,-0.00212912882,-6.459890703,-0.00212912882,0.09499839269,0.09499839269,0,0,1,0,907.4598907,907.4598907,0,789,73,6.391180277
84,0,901,2736,-6.459890703,1828.540109,-0.00212912882,0.6026723398,1835,0.6048014686,0,28,0,0,1,0,907.4598907,907.4598907,0,789,74,6.419390917
85,0,907.4598907,102921,0,102013.5401,0,33.62285497,102013.5401,33.62285497,0.109704275,1998.109704,0,0,1,0,907.4598907,907.4598907,0,789,75,6.446925879
86,0,907.4598907,907,0,-0.4598907029,0,-0.0001515763338,-0.4598907029,-0.0001515763338,0.07664845048,0.07664845048,0,0,1,0,907.4598907,907.4598907,0,789,76,6.477999449
87,0,907,2470,-0.4598907029,1562.540109,-0.0001515763338,0.5150008463,1563,0.5151524226,0,24,0,0,1,0,907.4598907,907.4598907,0,789,77,6.508647203
88,0,907.4598907,906,0,-1.459890703,0,-0.0004811684148,-1.459890703,-0.0004811684148,0.02146898092,0.02146898092,0,0,1,0,907.4598907,907.4598907,0,789,78,6.535587072
89,0,906,2471,-1.459890703,1563.540109,-0.0004811684148,0.5153304383,1565,0.5158116067,0,24,0,0,1,0,907.4598907,907.4598907,0,789,79,6.563628197
90,0,907.4598907,104699,0,103791.5401,0,34.20886969,103791.5401,34.20886969,0.006763098571,2024.006763,0,0,1,0,907.4598907,907.4598907,0,789,80,6.590968609
91,0,907.4598907,905,0,-2.459890703,0,-0.0008107604958,-2.459890703,-0.0008107604958,0.4099817838,0.4099817838,0,0,1,0,907.4598907,907.4598907,0,789,81,6.622282743
92,0,905,2536,-2.459890703,1628.540109,-0.0008107604958,0.5367539236,1631,0.5375646841,0,25,1,1,0,0,907.4598907,907.4598907,0,789,82,6.653638363
93,0,907.4598907,905,0,-2.459890703,0,-0.0008107604958,-2.459890703,-0.0008107604958,0.03617486328,0.03617486328,0,0,1,0,907.4598907,907.4598907,0,789,83,6.68045783
94,0,905,1722,-2.459890703,814.5401093,-0.0008107604958,0.2684659697,817,0.2692767302,0,13,0,0,1,0,907.4598907,907.4598907,0,789,84,6.708316088
95,0,907.4598907,906,0,-1.459890703,0,-0.0004811684148,-1.459890703,-0.0004811684148,0.02146898092,0.02146898092,0,0,1,0,907.4598907,907.4598907,0,789,85,6.735181093
96,0,906,2265,-1.459890703,1357.540109,-0.0004811684148,0.4474344697,1359,0.4479156381,0,21,0,0,1,0,907.4598907,907.4598907,0,789,86,6.763188839
97,0,907.4598907,100116,0,99208.54011,0,32.69834919,99208.54011,32.69834919,0.03617486328,1986.036175,0,0,1,0,907.4598907,907.4598907,0,789,87,6.790425062
98,0,907.4598907,908,0,0.5401092971,0,0.0001780157472,0.5401092971,0.0001780157472,0.09001821619,0.09001821619,0,0,1,0,907.4598907,907.4598907,0,789,88,6.82164216
99,0,907.4598907,1787,0,879.5401093,0,0.2898894549,879.5401093,0.2898894549,0.09001821619,14.90998178,0,0,1,0,907.4598907,907.4598907,0,789,89,6.848754168
100,0,907.4598907,903,0,-4.459890703,0,-0.001469944658,-4.459890703,-0.001469944658,0.06558662798,0.06558662798,0,0,1,0,907.4598907,907.4598907,0,789,90,6.880152225
101,0,903,1582,-4.459890703,674.5401093,-0.001469944658,0.2223230783,679,0.223793023,0,11,0,0,1,0,907.4598907,907.4598907,0,789,91,6.90790081
102,0,907.4598907,902,0,-5.459890703,0,-0.001799536739,-5.459890703,-0.001799536739,0.08029251034,0.08029251034,0,0,1,0,907.4598907,907.4598907,0,789,92,6.934774399
103,0,902,2739,-5.459890703,1831.540109,-0.001799536739,0.603661116,1837,0.6054606528,0,28,0,0,1,0,907.4598907,907.4598907,0,789,93,6.963006973
104,0,907.4598907,104992,0,104084.5401,0,34.30544017,104084.5401,34.30544017,0.06558662798,2042.065587,0,0,1,0,907.4598907,907.4598907,0,789,94,6.990296841
105,0,907.4598907,909,0,1.540109297,0,0.0005076078282,1.540109297,0.0005076078282,0.2566848829,0.2566848829,0,0,1,0,907.4598907,907.4598907,0,789,95,7.021669865
106,0,907.4598907,2398,0,1490.540109,0,0.4912702164,1490.540109,0.4912702164,0.2566848829,23.74331512,0,0,1,0,907.4598907,907.4598907,0,789,96,7.048816204
107,0,907.4598907,902,0,-5.459890703,0,-0.001799536739,-5.459890703,-0.001799536739,0.08029251034,0.08029251034,0,0,1,0,907.4598907,907.4598907,0,789,97,7.079606295
108,0,902,1855,-5.459890703,947.5401093,-0.001799536739,0.3123017164,953,0.3141012532,0,15,0,0,1,0,907.4598907,907.4598907,0,789,98,7.107418299
109,0,907.4598907,903,0,-4.459890703,0,-0.001469944658,-4.459890703,-0.001469944658,0.06558662798,0.06558662798,0,0,1,0,907.4598907,907.4598907,0,789,99,7.13438344
110,0,903,2874,-4.459890703,1966.540109,-0.001469944658,0.648156047,1971,0.6496259916,0,30,0,0,1,0,907.4598907,907.4598907,0,789,100,7.16241622
111,0,907.4598907,108139,0,107231.5401,0,35.34266645,107231.5401,35.34266645,0.08029251034,2068.080293,0,0,1,0,907.4598907,907.4598907,0,789,101,7.189757347
112,0,907.4598907,910,0,2.540109297,0,0.0008371999092,2.540109297,0.0008371999092,0.4233515495,0.4233515495,0,0,1,0,907.4598907,907.4598907,0,789,102,7.220880032
113,0,907.4598907,1651,0,743.5401093,0,0.2450649319,743.5401093,0.2450649319,0.4233515495,12.57664845,0,0,1,0,907.4598907,907.4598907,0,789,103,7.248128414
114,0,907.4598907,903,0,-4.459890703,0,-0.001469944658,-4.459890703,-0.001469944658,0.06558662798,0.06558662798,0,0,1,0,907.4598907,907.4598907,0,789,104,7.27883029
