it,alpha,cz_lp,cz_round,d_lp,d_round,d_lp_n,d_round_n,delta,delta_n,frac,dist,viol_max,viol_sum,feas,improving,ub,ub_eff,ub_free,z_best,stall,t
0,0,403.8464741,308,-9.038381469,-104.8848556,-0.25,-2.901096174,-95.84647413,-2.651096174,175.7286723,175.7286723,1,1001,0,0,412.8848556,0,1,0,0,0.0003981590271
1,0,412.8848556,339,5.684341886e-14,-73.88485559,1.572278705e-15,-2.04364177,-73.88485559,-2.04364177,109.4451537,109.4451537,1,667,0,0,412.8848556,412.8848556,0,0,1,0.6058380604
2,0,412.8848556,356,-5.684341886e-14,-56.88485559,-1.572278705e-15,-1.573424838,-56.88485559,-1.573424838,95.20154653,95.20154653,1,490,0,0,412.8848556,412.8848556,0,0,2,0.8502440453
3,0,412.8848556,358,5.684341886e-14,-54.88485559,1.572278705e-15,-1.518105199,-54.88485559,-1.518105199,91.6828442,91.6828442,1,477,0,0,412.8848556,412.8848556,0,0,3,1.094380379
4,0,412.8848556,359,-5.684341886e-14,-53.88485559,-1.572278705e-15,-1.49044538,-53.88485559,-1.49044538,91.28387762,91.28387762,1,470,0,0,412.8848556,412.8848556,0,0,4,1.235599995
5,0,412.8848556,357,5.684341886e-14,-55.88485559,1.572278705e-15,-1.545765019,-55.88485559,-1.545765019,90.59530044,90.59530044,1,503,0,0,412.8848556,412.8848556,0,0,5,1.319687366
6,0,412.8848556,361,0,-51.88485559,0,-1.435125741,-51.88485559,-1.435125741,90.2608537,90.2608537,1,442,0,0,412.8848556,412.8848556,0,0,6,1.387973309
7,0,412.8848556,362,0,-50.88485559,0,-1.407465921,-50.88485559,-1.407465921,89.1489196,89.1489196,1,435,0,0,412.8848556,412.8848556,0,0,7,1.524142265
8,0,412.8848556,364,0,-48.88485559,0,-1.352146282,-48.88485559,-1.352146282,88.088724,88.088724,1,410,0,0,412.8848556,412.8848556,0,0,8,1.584115267
9,0,412.8848556,364,0,-48.88485559,0,-1.352146282,-48.88485559,-1.352146282,86.87717128,86.87717128,1,428,0,0,412.8848556,412.8848556,0,0,9,1.700100899
10,0,412.8848556,363,5.684341886e-14,-49.88485559,1.572278705e-15,-1.379806102,-49.88485559,-1.379806102,86.72552094,86.72552094,1,431,0,0,412.8848556,412.8848556,0,0,10,1.792774916
11,0,412.8848556,378,1.136868377e-13,-34.88485559,3.144557411e-15,-0.964908809,-34.88485559,-0.964908809,86.72552094,86.72552094,1,350,0,0,412.8848556,412.8848556,0,0,11,1.803783178
12,0,412.8848556,538,1.136868377e-13,125.1151444,3.144557411e-15,3.460662311,125.1151444,3.460662311,86.72552094,365.5022631,1,231,0,0,412.8848556,412.8848556,0,0,12,1.829184771
13,0,412.8848556,390,5.684341886e-14,-22.88485559,1.572278705e-15,-0.632990975,-22.88485559,-0.632990975,118.7650535,118.7650535,1,411,0,0,412.8848556,412.8848556,0,0,13,2.313138008
14,0,412.8848556,392,5.684341886e-14,-20.88485559,1.572278705e-15,-0.577671336,-20.88485559,-0.577671336,79.36356478,79.36356478,1,271,0,0,412.8848556,412.8848556,0,0,14,2.767770529
15,0,412.8848556,393,0,-19.88485559,0,-0.5500115165,-19.88485559,-0.5500115165,73.29898768,73.29898768,1,285,0,0,412.8848556,412.8848556,0,0,15,3.028345823
16,0,412.8848556,392,0,-20.88485559,0,-0.577671336,-20.88485559,-0.577671336,69.06221578,69.06221578,1,318,0,0,412.8848556,412.8848556,0,0,16,3.260285378
17,0,412.8848556,402,0,-10.88485559,0,-0.301073141,-10.88485559,-0.301073141,68.87393859,69.05513267,1,217,0,0,412.8848556,412.8848556,0,0,17,3.353392601
18,0,412.8848556,398,-5.684341886e-14,-14.88485559,-1.572278705e-15,-0.411712419,-14.88485559,-0.411712419,68.57347424,68.57347424,1,214,0,0,412.8848556,412.8848556,0,0,18,3.451756477
19,0,412.8848556,398,-5.684341886e-14,-14.88485559,-1.572278705e-15,-0.411712419,-14.88485559,-0.411712419,68.40227739,70.53680793,1,260,0,0,412.8848556,412.8848556,0,0,19,3.508533239
20,0,412.8848556,391,-5.684341886e-14,-21.88485559,-1.572278705e-15,-0.6053311555,-21.88485559,-0.6053311555,68.62189944,68.62189944,1,339,0,0,412.8848556,412.8848556,0,0,20,3.692275047
21,0,412.8848556,392,5.684341886e-14,-20.88485559,1.572278705e-15,-0.577671336,-20.88485559,-0.577671336,66.96339517,66.96339517,1,329,0,0,412.8848556,412.8848556,0,0,21,3.832860947
22,0,412.8848556,394,0,-18.88485559,0,-0.522351697,-18.88485559,-0.522351697,65.28924281,65.28924281,1,325,0,0,412.8848556,412.8848556,0,0,22,3.993001461
23,0,412.8848556,391,0,-21.88485559,0,-0.6053311555,-21.88485559,-0.6053311555,63.65779963,63.65779963,1,355,0,0,412.8848556,412.8848556,0,0,23,4.194458008
24,0,412.8848556,390,5.684341886e-14,-22.88485559,1.572278705e-15,-0.632990975,-22.88485559,-0.632990975,63.65779963,63.65779963,1,376,0,0,412.8848556,412.8848556,0,0,24,4.237761974
25,0,412.8848556,402,5.684341886e-14,-10.88485559,1.572278705e-15,-0.301073141,-10.88485559,-0.301073141,63.65779963,63.65779963,1,251,0,0,412.8848556,412.8848556,0,0,25,4.256604671
26,0,412.8848556,392,0,-20.88485559,0,-0.577671336,-20.88485559,-0.577671336,63.5364073,63.5364073,1,350,0,0,412.8848556,412.8848556,0,0,26,4.318641424
27,0,412.8848556,394,0,-18.88485559,0,-0.522351697,-18.88485559,-0.522351697,63.47382974,63.47382974,1,327,0,0,412.8848556,412.8848556,0,0,27,4.401822329
28,0,412.8848556,394,-5.684341886e-14,-18.88485559,-1.572278705e-15,-0.522351697,-18.88485559,-0.522351697,63.38318943,63.38318943,1,321,0,0,412.8848556,412.8848556,0,0,28,4.465788126
29,0,412.8848556,402,0,-10.88485559,0,-0.301073141,-10.88485559,-0.301073141,63.21305877,63.83114271,1,255,0,0,412.8848556,412.8848556,0,0,29,4.560690403
30,0,412.8848556,395,0,-17.88485559,0,-0.4946918775,-17.88485559,-0.4946918775,62.36534158,62.36534158,1,306,0,0,412.8848556,412.8848556,0,0,30,4.763509512
31,0,412.8848556,407,0,-5.884855594,0,-0.1627740435,-5.884855594,-0.1627740435,62.34381649,64.5608108,1,171,0,0,412.8848556,412.8848556,0,0,31,4.836792469
32,0,412.8848556,396,5.684341886e-14,-16.88485559,1.572278705e-15,-0.467032058,-16.88485559,-0.467032058,63.16135689,63.16135689,1,267,0,0,412.8848556,412.8848556,0,0,32,5.008780003
