# famiglia	banda	path	n	ncons	nnz
miplib2017	1k-10k	/nfsd/rop/instances/miplib2017/cvs16r106-72.mps.gz	2848	3608	9888
miplib2017	1k-10k	/nfsd/rop/instances/miplib2017/f2000.mps.gz	4000	10500	29500
miplib2017	1k-10k	/nfsd/rop/instances/miplib2017/neos-1337307.mps.gz	2840	5687	30799
miplib2017	1k-10k	/nfsd/rop/instances/miplib2017/neos-2328163-agri.mps.gz	2236	1963	12740
miplib2017	1k-10k	/nfsd/rop/instances/miplib2017/ramos3.mps.gz	2187	2187	32805
miplib2017	1k-10k	/nfsd/rop/instances/miplib2017/reblock115.mps.gz	1150	4735	13724
miplib2017	1k-10k	/nfsd/rop/instances/miplib2017/reblock166.mps.gz	1660	17024	39442
miplib2017	1k-10k	/nfsd/rop/instances/miplib2017/reblock354.mps.gz	3540	19906	52901
miplib2017	1k-10k	/nfsd/rop/instances/miplib2017/s1234.mps.gz	2945	8418	44641
miplib2017	1k-10k	/nfsd/rop/instances/miplib2017/toll-like.mps.gz	2883	4408	13224
miplib2017	<1k	/nfsd/rop/instances/miplib2017/f2gap40400.mps.gz	400	40	800
miplib2017	<1k	/nfsd/rop/instances/miplib2017/glass-sc.mps.gz	214	6119	63918
miplib2017	<1k	/nfsd/rop/instances/miplib2017/ponderthis0517-inf.mps.gz	975	78	2925
miplib2017	>10k	/nfsd/rop/instances/miplib2017/academictimetablesmall.mps.gz	28926	23294	268350
miplib2017	>10k	/nfsd/rop/instances/miplib2017/air03.mps.gz	10757	124	91028
miplib2017	>10k	/nfsd/rop/instances/miplib2017/chromaticindex512-7.mps.gz	36864	33791	135156
miplib2017	>10k	/nfsd/rop/instances/miplib2017/disctom.mps.gz	10000	399	30000
miplib2017	>10k	/nfsd/rop/instances/miplib2017/n2seq36q.mps.gz	22480	2565	183292
miplib2017	>10k	/nfsd/rop/instances/miplib2017/neos-3437289-erdre.mps.gz	12162	7358	149856
miplib2017	>10k	/nfsd/rop/instances/miplib2017/neos-952987.mps.gz	31329	354	90384
miplib2003	1k-10k	/nfsd/rop/instances/miplib2003/acc-0.mps.gz	1620	1737	7290
miplib2003	1k-10k	/nfsd/rop/instances/miplib2003/acc-4.mps.gz	1620	3285	17073
miplib2003	1k-10k	/nfsd/rop/instances/miplib2003/acc-5.mps.gz	1339	3052	16134
miplib2003	1k-10k	/nfsd/rop/instances/miplib2003/acc-6.mps.gz	1335	3047	16108
miplib2003	1k-10k	/nfsd/rop/instances/miplib2003/air04.mps.gz	8904	823	72965
miplib2003	1k-10k	/nfsd/rop/instances/miplib2003/air05.mps.gz	7195	426	52121
miplib2003	1k-10k	/nfsd/rop/instances/miplib2003/cap6000.mps.gz	6000	2176	48243
miplib2003	1k-10k	/nfsd/rop/instances/miplib2003/harp2.mps.gz	2993	112	5840
miplib2003	1k-10k	/nfsd/rop/instances/miplib2003/l152lav.mps.gz	1989	97	9922
miplib2003	1k-10k	/nfsd/rop/instances/miplib2003/ns1688347.mps.gz	2685	4191	66908
miplib2003	1k-10k	/nfsd/rop/instances/miplib2003/nug08.mps.gz	1632	912	7296
miplib2003	1k-10k	/nfsd/rop/instances/miplib2003/qap10.mps.gz	4150	1820	18200
miplib2003	1k-10k	/nfsd/rop/instances/miplib2003/seymour.mps.gz	1372	4944	33549
miplib2003	<1k	/nfsd/rop/instances/miplib2003/enigma.mps.gz	100	21	289
miplib2003	<1k	/nfsd/rop/instances/miplib2003/p0201.mps.gz	201	133	1923
miplib2003	<1k	/nfsd/rop/instances/miplib2003/p0548.mps.gz	548	176	1711
miplib2003	>10k	/nfsd/rop/instances/miplib2003/air03.mps.gz	10757	124	91028
miplib2003	>10k	/nfsd/rop/instances/miplib2003/disctom.mps.gz	10000	399	30000
miplib2003	>10k	/nfsd/rop/instances/miplib2003/neos808444.mps.gz	19846	18329	120512
miplib2003	>10k	/nfsd/rop/instances/miplib2003/neos897005.mps.gz	44630	11612	181641
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scp47.mps.gz	1000	200	3920
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scp510.mps.gz	2000	200	8001
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scp55.mps.gz	2000	200	7855
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scp56.mps.gz	2000	200	7995
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scp58.mps.gz	2000	200	7921
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scp59.mps.gz	2000	200	7871
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scp61.mps.gz	1000	200	9836
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scp62.mps.gz	1000	200	10002
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scp65.mps.gz	1000	200	9943
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scpa1.mps.gz	3000	300	18091
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scpb4.mps.gz	3000	300	44893
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scpc3.mps.gz	4000	400	31969
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scpd2.mps.gz	4000	400	80105
ORLib_setcover	1k-10k	/nfsd/rop/instances/ORLib/setcover/scpd3.mps.gz	4000	400	80163
ORLib_setcover	<1k	/nfsd/rop/instances/ORLib/setcover/scpclr11.mps.gz	330	1023	41910
ORLib_setcover	<1k	/nfsd/rop/instances/ORLib/setcover/scpe3.mps.gz	500	50	5040
ORLib_setcover	<1k	/nfsd/rop/instances/ORLib/setcover/scpe5.mps.gz	500	50	5017
ORLib_setcover	>10k	/nfsd/rop/instances/ORLib/setcover/scpnrg2.mps.gz	10000	1000	199451
ORLib_setcover	>10k	/nfsd/rop/instances/ORLib/setcover/scpnrg4.mps.gz	10000	1000	199456
ORLib_setcover	>10k	/nfsd/rop/instances/ORLib/setcover/scpnrh3.mps.gz	10000	1000	499126
